Row,STR,DEX,CON,INT,PERC,WILL,CHA,Initative
1,8,14,11,5,8,13,9,9
2,8,13,13,13,7,9,5,13
3,5,10,7,8,14,13,11,9
4,14,6,5,11,13,7,12,8
5,10,5,12,14,13,6,8,9
6,14,15,5,7,12,7,8,11
7,13,11,9,12,6,7,10,11
8,7,11,15,6,9,8,12,8
9,10,15,11,5,12,9,6,10
10,13,13,9,5,8,7,13,9
11,15,12,9,7,10,7,8,9
12,7,12,10,14,12,8,5,13
13,6,10,13,12,15,7,5,11
14,14,5,6,10,6,15,12,7
15,12,9,9,12,11,7,8,10
16,12,14,6,10,11,6,9,12
17,9,13,5,5,12,9,15,9
18,12,10,8,15,11,5,7,12
19,5,10,9,7,8,15,14,8
20,14,5,13,7,9,12,8,6
21,15,6,13,5,9,9,11,5
22,13,5,9,7,9,14,11,6
23,14,10,7,14,8,5,10,12
24,5,11,13,8,12,10,9,9
25,14,9,15,6,7,11,6,7
26,11,8,13,6,10,6,14,7
27,15,11,7,13,11,5,6,12
28,13,11,7,5,8,11,13,8
29,9,5,15,6,14,9,10,5
30,14,8,9,8,15,5,9,8
31,13,12,12,5,7,5,14,8
32,13,8,9,12,9,10,7,10
33,5,10,11,7,9,13,13,8
34,9,7,11,9,6,12,14,8
35,15,11,9,10,8,8,7,10
36,8,7,13,5,9,13,13,6
37,8,8,5,11,15,15,6,9
38,10,8,11,5,13,11,10,6
39,15,6,6,12,12,9,8,9
40,9,8,12,11,6,8,14,9
41,13,13,6,12,11,8,5,12
42,8,12,11,13,6,13,5,12
43,13,15,6,8,5,9,12,11
44,14,12,9,11,10,6,6,11
45,9,10,8,5,8,15,13,7
46,10,8,14,6,7,14,9,7
47,12,10,7,13,9,11,6,11
48,6,8,13,12,7,14,8,10
49,5,10,7,9,15,10,12,9
50,11,14,5,6,9,13,10,10
51,14,7,13,9,14,5,6,8
52,5,10,12,13,8,5,15,11
53,5,12,8,5,15,9,14,8
54,9,15,5,6,12,14,7,10
55,7,7,6,14,11,10,13,10
56,14,10,6,12,7,14,5,11
57,7,10,13,10,12,11,5,10
58,15,7,8,12,15,5,6,9
59,14,12,7,9,9,11,6,10
60,14,10,6,6,13,8,11,8
61,7,6,9,14,13,5,14,10
62,5,11,14,6,8,13,11,8
63,11,11,13,9,14,5,5,10
64,9,7,10,8,8,14,12,7
65,15,5,10,9,7,14,8,7
66,14,10,9,8,12,9,6,9
67,9,14,12,15,7,6,5,14
68,5,14,6,10,8,13,12,12
69,8,12,5,6,15,11,11,9
70,10,13,7,8,10,15,5,10
71,5,14,12,9,13,10,5,11
72,8,11,10,11,9,7,12,11
73,12,8,5,14,7,12,10,11
74,7,6,10,11,13,13,8,8
75,13,15,11,5,7,10,7,10
76,14,10,7,12,6,11,8,11
77,13,9,12,12,5,11,6,10
78,13,5,14,12,8,10,6,8
79,14,11,7,5,10,9,12,8
80,11,12,8,13,11,7,6,12
81,5,12,10,15,6,10,10,13
82,5,15,10,13,8,6,11,14
83,6,13,8,15,9,12,5,14
84,7,7,10,11,14,11,8,9
85,10,14,8,13,12,6,5,13
86,8,6,14,9,6,12,13,7
87,9,5,15,10,12,12,5,7
88,6,11,7,9,10,13,12,10
89,9,9,6,13,5,12,14,11
90,13,10,11,9,8,7,10,9
91,7,12,9,8,14,12,6,10
92,13,6,7,14,6,10,12,10
93,10,13,5,10,11,8,11,11
94,11,13,5,9,6,10,14,11
95,13,12,5,8,9,10,11,10
96,15,9,6,5,13,12,8,7
97,8,11,13,5,11,13,7,8
98,9,15,5,6,8,14,11,10
99,5,10,11,5,10,14,13,7
100,5,15,9,7,13,11,8,11
